Year,FieldOfStudyId,Gender,Authorships,DistinctPapers,Gender 
1935.0,39432304,-2,1871,1871,N/A $\notin$ constraint
1900.0,95457728,-2,1613,1613,N/A $\notin$ constraint
1938.0,95457728,1,2359,2359,Male
1962.0,205649164,-2,7155,7155,N/A $\notin$ constraint
1923.0,138885662,-2,2280,2280,N/A $\notin$ constraint
1982.0,127313418,0,2167,2167,Female
1916.0,185592680,1,1521,1521,Male
1910.0,95457728,1,1093,1093,Male
1969.0,127313418,-1,2409,2409,N/A $\in$ constraint
1861.0,33923547,-2,81,81,N/A $\notin$ constraint
1954.0,144024400,1,1917,1917,Male
1893.0,185592680,-2,1265,1265,N/A $\notin$ constraint
1863.0,121332964,-2,177,177,N/A $\notin$ constraint
1942.0,15744967,0,662,662,Female
1943.0,162324750,0,82,82,Female
1879.0,142362112,0,118,118,Female
1918.0,162324750,1,166,166,Male
1938.0,39432304,-2,2025,2025,N/A $\notin$ constraint
1878.0,86803240,-2,563,563,N/A $\notin$ constraint
2011.0,41008148,-1,336348,336348,N/A $\in$ constraint
1995.0,144024400,1,18546,18546,Male
1990.0,185592680,-1,214122,214122,N/A $\in$ constraint
2001.0,127413603,-1,124330,124330,N/A $\in$ constraint
2003.0,162324750,1,51241,51241,Male
1976.0,192562407,0,3574,3574,Female
1980.0,33923547,-2,29994,29994,N/A $\notin$ constraint
1934.0,142362112,1,3702,3702,Male
1994.0,144133560,-1,4843,4843,N/A $\in$ constraint
1963.0,142362112,0,1784,1784,Female
1895.0,205649164,-2,1060,1060,N/A $\notin$ constraint
1948.0,138885662,1,2536,2536,Male
1934.0,127413603,-2,5887,5887,N/A $\notin$ constraint
1980.0,205649164,-1,4556,4556,N/A $\in$ constraint
1866.0,41008148,-2,95,95,N/A $\notin$ constraint
1902.0,144024400,-2,310,310,N/A $\notin$ constraint
1956.0,144133560,0,192,192,Female
1932.0,144133560,-2,1193,1193,N/A $\notin$ constraint
1944.0,15744967,1,1457,1457,Male
1929.0,127413603,-2,4059,4059,N/A $\notin$ constraint
1927.0,121332964,1,1114,1114,Male
1884.0,71924100,-2,1360,1360,N/A $\notin$ constraint
1963.0,15744967,-2,8506,8506,N/A $\notin$ constraint
1952.0,121332964,-1,883,883,N/A $\in$ constraint
1933.0,33923547,-2,1618,1618,N/A $\notin$ constraint
1916.0,95457728,0,252,252,Female
1885.0,86803240,1,326,326,Male
1867.0,127413603,1,113,113,Male
1961.0,144024400,-2,2289,2289,N/A $\notin$ constraint
1909.0,15744967,-2,679,679,N/A $\notin$ constraint
2000.0,127413603,-2,316213,316213,N/A $\notin$ constraint
2007.0,15744967,1,148304,148304,Male
2010.0,144024400,1,49521,49521,Male
2005.0,142362112,-2,197006,197006,N/A $\notin$ constraint
1990.0,127413603,-1,35648,35648,N/A $\in$ constraint
2006.0,127413603,0,52174,52174,Female
1957.0,185592680,-2,49085,49085,N/A $\notin$ constraint
2009.0,17744445,-1,41439,41439,N/A $\in$ constraint
2008.0,41008148,0,117263,117263,Female
1919.0,127413603,1,1211,1211,Male
2014.0,192562407,0,253090,253090,Female
1980.0,142362112,1,21401,21401,Male
2006.0,138885662,-1,13889,13889,N/A $\in$ constraint
1990.0,142362112,1,22542,22542,Male
2001.0,33923547,1,99469,99469,Male
2013.0,39432304,0,59613,59613,Female
2018.0,95457728,1,17861,17861,Male
1979.0,15744967,-1,5993,5993,N/A $\in$ constraint
2008.0,95457728,1,19878,19878,Male
1960.0,39432304,-1,702,702,N/A $\in$ constraint
1965.0,17744445,-2,7487,7487,N/A $\notin$ constraint
2017.0,144024400,0,54301,54301,Female
1914.0,138885662,-2,1886,1886,N/A $\notin$ constraint
1914.0,127313418,1,711,711,Male
1995.0,127313418,-1,23159,23159,N/A $\in$ constraint
1905.0,121332964,1,415,415,Male
1844.0,39432304,-2,8,8,N/A $\notin$ constraint
1921.0,192562407,-2,6228,6228,N/A $\notin$ constraint
1933.0,127413603,0,323,323,Female
1883.0,33923547,1,110,110,Male
1942.0,205649164,-1,277,277,N/A $\in$ constraint
1905.0,192562407,1,815,815,Male
2020.0,144024400,0,45974,45974,Female
1905.0,127313418,1,563,563,Male
1960.0,138885662,-1,509,509,N/A $\in$ constraint
2021.0,33923547,-2,14833,14833,N/A $\notin$ constraint
1866.0,121332964,-2,206,206,N/A $\notin$ constraint
2007.0,71924100,0,505345,505345,Female
1912.0,162324750,-2,320,320,N/A $\notin$ constraint
1960.0,142362112,-2,11878,11878,N/A $\notin$ constraint
1998.0,144133560,-1,8104,8104,N/A $\in$ constraint
1959.0,142362112,-2,10625,10625,N/A $\notin$ constraint
2011.0,205649164,-1,90775,90775,N/A $\in$ constraint
1986.0,127413603,1,75231,75231,Male
1992.0,86803240,-1,164280,164280,N/A $\in$ constraint
2002.0,127313418,-1,43429,43429,N/A $\in$ constraint
1989.0,142362112,-2,54170,54170,N/A $\notin$ constraint
1867.0,127413603,-2,188,188,N/A $\notin$ constraint
1997.0,39432304,1,35784,35784,Male
1981.0,144133560,-2,10984,10984,N/A $\notin$ constraint
2001.0,185592680,-1,318107,318107,N/A $\in$ constraint
1987.0,15744967,-1,10981,10981,N/A $\in$ constraint
1983.0,142362112,0,6959,6959,Female
1942.0,142362112,-1,593,593,N/A $\in$ constraint
1978.0,138885662,-1,1591,1591,N/A $\in$ constraint
2017.0,15744967,1,290349,290349,Male
2017.0,86803240,-1,829500,829500,N/A $\in$ constraint
1896.0,144024400,1,167,167,Male
1916.0,33923547,1,374,374,Male
1860.0,142362112,-2,1678,1678,N/A $\notin$ constraint
1920.0,17744445,0,109,109,Female
1985.0,144024400,-1,1575,1575,N/A $\in$ constraint
1837.0,127413603,-2,70,70,N/A $\notin$ constraint
1851.0,121332964,-2,173,173,N/A $\notin$ constraint
1929.0,205649164,-1,331,331,N/A $\in$ constraint
1925.0,162324750,0,47,47,Female
1861.0,142362112,-1,78,78,N/A $\in$ constraint
1816.0,121332964,1,13,13,Male
1896.0,142362112,0,138,138,Female
2021.0,192562407,0,25621,25621,Female
1999.0,71924100,-2,381048,381048,N/A $\notin$ constraint
2004.0,71924100,-2,577010,577010,N/A $\notin$ constraint
2014.0,144024400,-2,205927,205927,N/A $\notin$ constraint
1966.0,121332964,1,11406,11406,Male
1973.0,138885662,1,8669,8669,Male
1982.0,86803240,0,25195,25195,Female
1972.0,86803240,-1,19422,19422,N/A $\in$ constraint
1852.0,71924100,-2,440,440,N/A $\notin$ constraint
1973.0,15744967,-1,3767,3767,N/A $\in$ constraint
1965.0,41008148,0,951,951,Female
1960.0,138885662,1,4519,4519,Male
1909.0,71924100,-2,4412,4412,N/A $\notin$ constraint
1923.0,127413603,-2,3378,3378,N/A $\notin$ constraint
2020.0,86803240,1,671845,671845,Male
1951.0,95457728,-2,3878,3878,N/A $\notin$ constraint
1950.0,121332964,1,3004,3004,Male
1929.0,142362112,0,713,713,Female
1976.0,95457728,-1,1647,1647,N/A $\in$ constraint
1883.0,95457728,1,440,440,Male
1924.0,39432304,-2,2397,2397,N/A $\notin$ constraint
1911.0,138885662,-2,1992,1992,N/A $\notin$ constraint
1988.0,138885662,0,3105,3105,Female
1947.0,15744967,-2,2919,2919,N/A $\notin$ constraint
1919.0,144133560,1,328,328,Male
1874.0,138885662,1,287,287,Male
2009.0,86803240,0,443055,443055,Female
1985.0,39432304,1,14679,14679,Male
1996.0,121332964,1,115687,115687,Male
2012.0,86803240,-1,632795,632795,N/A $\in$ constraint
1963.0,127413603,-2,18262,18262,N/A $\notin$ constraint
2014.0,185592680,-2,909154,909154,N/A $\notin$ constraint
2007.0,15744967,0,115386,115386,Female
2018.0,95457728,0,9604,9604,Female
1978.0,205649164,0,3326,3326,Female
1951.0,205649164,0,453,453,Female
1907.0,127313418,-1,80,80,N/A $\in$ constraint
1974.0,144133560,-2,5772,5772,N/A $\notin$ constraint
1898.0,144133560,-2,351,351,N/A $\notin$ constraint
1963.0,95457728,0,1084,1084,Female
1912.0,144024400,1,359,359,Male
1948.0,17744445,1,3097,3097,Male
1905.0,142362112,0,293,293,Female
1934.0,17744445,1,1948,1948,Male
1945.0,138885662,1,1339,1339,Male
1858.0,86803240,-2,271,271,N/A $\notin$ constraint
1894.0,86803240,1,467,467,Male
1958.0,41008148,-1,959,959,N/A $\in$ constraint
1861.0,71924100,1,521,521,Male
1947.0,41008148,1,3193,3193,Male
1821.0,95457728,1,136,136,Male
1846.0,95457728,1,282,282,Male
1865.0,95457728,1,359,359,Male
2021.0,95457728,1,762,762,Male
2004.0,41008148,1,392828,392828,Male
2003.0,121332964,-2,266126,266126,N/A $\notin$ constraint
1975.0,71924100,-2,227370,227370,N/A $\notin$ constraint
1976.0,71924100,1,81938,81938,Male
2000.0,15744967,0,55261,55261,Female
1991.0,142362112,-2,60457,60457,N/A $\notin$ constraint
1958.0,185592680,-2,55300,55300,N/A $\notin$ constraint
1992.0,144024400,1,15982,15982,Male
2004.0,185592680,-1,368883,368883,N/A $\in$ constraint
1960.0,121332964,-2,24724,24724,N/A $\notin$ constraint
2013.0,144133560,0,44308,44308,Female
2011.0,144024400,-1,22502,22502,N/A $\in$ constraint
2001.0,95457728,-1,4151,4151,N/A $\in$ constraint
1993.0,162324750,-2,13230,13230,N/A $\notin$ constraint
1980.0,41008148,0,4119,4119,Female
2018.0,205649164,0,49757,49757,Female
1900.0,138885662,-2,1528,1528,N/A $\notin$ constraint
1938.0,144024400,1,1050,1050,Male
1977.0,142362112,1,17118,17118,Male
1858.0,127413603,1,98,98,Male
1892.0,205649164,1,559,559,Male
2018.0,192562407,1,737634,737634,Male
1911.0,95457728,1,1124,1124,Male
1964.0,144024400,-2,2666,2666,N/A $\notin$ constraint
1895.0,95457728,1,622,622,Male
1897.0,185592680,-2,1832,1832,N/A $\notin$ constraint
1902.0,127313418,1,475,475,Male
1905.0,71924100,-2,3624,3624,N/A $\notin$ constraint
1992.0,127313418,0,4921,4921,Female
1902.0,205649164,1,698,698,Male
2018.0,15744967,-1,242090,242090,N/A $\in$ constraint
1937.0,192562407,0,200,200,Female
1861.0,127313418,-1,22,22,N/A $\in$ constraint
1979.0,71924100,-2,259861,259861,N/A $\notin$ constraint
2006.0,95457728,-2,65650,65650,N/A $\notin$ constraint
1995.0,41008148,-2,228176,228176,N/A $\notin$ constraint
2005.0,71924100,-1,619323,619323,N/A $\in$ constraint
2002.0,127313418,1,64062,64062,Male
2005.0,17744445,1,61645,61645,Male
1990.0,205649164,-2,51143,51143,N/A $\notin$ constraint
2016.0,144024400,-1,38351,38351,N/A $\in$ constraint
1980.0,15744967,0,14770,14770,Female
1999.0,185592680,0,127147,127147,Female
2017.0,144024400,-2,263386,263386,N/A $\notin$ constraint
1966.0,127413603,-2,24401,24401,N/A $\notin$ constraint
1974.0,15744967,0,8514,8514,Female
1981.0,17744445,0,6107,6107,Female
1973.0,162324750,-2,3740,3740,N/A $\notin$ constraint
1963.0,127313418,1,5468,5468,Male
1949.0,86803240,-2,11421,11421,N/A $\notin$ constraint
1978.0,144133560,1,7638,7638,Male
1951.0,138885662,-2,4212,4212,N/A $\notin$ constraint
1951.0,86803240,-2,16552,16552,N/A $\notin$ constraint
2016.0,185592680,-1,688684,688684,N/A $\in$ constraint
1963.0,138885662,-2,6365,6365,N/A $\notin$ constraint
1944.0,95457728,0,476,476,Female
1992.0,144024400,0,8369,8369,Female
1934.0,127413603,1,4880,4880,Male
1976.0,121332964,0,1774,1774,Female
1942.0,121332964,1,868,868,Male
1974.0,17744445,-1,1819,1819,N/A $\in$ constraint
1897.0,39432304,1,107,107,Male
1962.0,15744967,-1,1295,1295,N/A $\in$ constraint
1910.0,142362112,0,391,391,Female
1899.0,142362112,0,254,254,Female
1939.0,15744967,-1,235,235,N/A $\in$ constraint
1906.0,205649164,-2,1555,1555,N/A $\notin$ constraint
1893.0,86803240,-2,830,830,N/A $\notin$ constraint
1907.0,144133560,-2,703,703,N/A $\notin$ constraint
1873.0,17744445,-2,247,247,N/A $\notin$ constraint
2005.0,71924100,1,873805,873805,Male
2002.0,17744445,1,50202,50202,Male
1970.0,41008148,1,12873,12873,Male
1991.0,205649164,1,20977,20977,Male
1949.0,71924100,-1,3811,3811,N/A $\in$ constraint
2010.0,33923547,-1,94531,94531,N/A $\in$ constraint
1958.0,192562407,-2,36225,36225,N/A $\notin$ constraint
1999.0,33923547,-1,36309,36309,N/A $\in$ constraint
1958.0,127413603,-2,11516,11516,N/A $\notin$ constraint
2008.0,142362112,-1,40427,40427,N/A $\in$ constraint
1959.0,33923547,-2,6037,6037,N/A $\notin$ constraint
1963.0,41008148,0,751,751,Female
1957.0,33923547,1,2786,2786,Male
1921.0,86803240,1,1537,1537,Male
1976.0,205649164,0,2514,2514,Female
1965.0,71924100,1,37890,37890,Male
1966.0,121332964,0,978,978,Female
1928.0,71924100,0,957,957,Female
1929.0,39432304,1,1607,1607,Male
1910.0,86803240,-2,2136,2136,N/A $\notin$ constraint
1933.0,127313418,-2,2124,2124,N/A $\notin$ constraint
1870.0,144133560,-1,21,21,N/A $\in$ constraint
1957.0,192562407,-1,3412,3412,N/A $\in$ constraint
1898.0,17744445,1,392,392,Male
1838.0,205649164,-2,156,156,N/A $\notin$ constraint
1939.0,144133560,1,866,866,Male
1841.0,142362112,-2,711,711,N/A $\notin$ constraint
1991.0,144133560,1,15067,15067,Male
1979.0,39432304,-2,46848,46848,N/A $\notin$ constraint
2001.0,127413603,-2,356617,356617,N/A $\notin$ constraint
2006.0,144133560,1,60513,60513,Male
1992.0,192562407,0,21576,21576,Female
1993.0,144024400,1,17549,17549,Male
1989.0,205649164,1,18678,18678,Male
1991.0,127413603,1,109090,109090,Male
1993.0,185592680,-2,295755,295755,N/A $\notin$ constraint
1999.0,192562407,0,42793,42793,Female
2009.0,142362112,0,22045,22045,Female
2002.0,162324750,0,11195,11195,Female
1961.0,127413603,1,7289,7289,Male
1838.0,142362112,-1,77,77,N/A $\in$ constraint
1986.0,15744967,1,38084,38084,Male
1985.0,144024400,-2,8869,8869,N/A $\notin$ constraint
1998.0,142362112,-1,14793,14793,N/A $\in$ constraint
1968.0,205649164,0,1340,1340,Female
1939.0,71924100,1,10142,10142,Male
1969.0,17744445,1,13601,13601,Male
1980.0,95457728,-2,10727,10727,N/A $\notin$ constraint
1957.0,127413603,-1,996,996,N/A $\in$ constraint
1983.0,205649164,0,4125,4125,Female
1930.0,127413603,1,2710,2710,Male
1959.0,71924100,0,4200,4200,Female
1957.0,142362112,1,7178,7178,Male
1954.0,162324750,-2,1266,1266,N/A $\notin$ constraint
1825.0,142362112,1,287,287,Male
1953.0,144024400,-2,1703,1703,N/A $\notin$ constraint
1900.0,205649164,-2,1747,1747,N/A $\notin$ constraint
1971.0,121332964,0,1199,1199,Female
1991.0,95457728,-1,2775,2775,N/A $\in$ constraint
1920.0,138885662,0,100,100,Female
1979.0,95457728,-1,1995,1995,N/A $\in$ constraint
1930.0,144133560,-2,1486,1486,N/A $\notin$ constraint
1867.0,121332964,1,83,83,Male
1910.0,127313418,-2,6507,6507,N/A $\notin$ constraint
1921.0,41008148,-2,4029,4029,N/A $\notin$ constraint
1905.0,41008148,-2,4945,4945,N/A $\notin$ constraint
2020.0,192562407,0,233245,233245,Female
2021.0,71924100,0,85880,85880,Female
1991.0,33923547,1,50321,50321,Male
2013.0,127413603,0,97373,97373,Female
2003.0,71924100,-2,503020,503020,N/A $\notin$ constraint
1984.0,71924100,-1,145160,145160,N/A $\in$ constraint
1997.0,192562407,1,272098,272098,Male
1979.0,142362112,1,20486,20486,Male
1996.0,33923547,-1,30589,30589,N/A $\in$ constraint
2015.0,162324750,1,91399,91399,Male
1976.0,127413603,-1,9638,9638,N/A $\in$ constraint
1992.0,205649164,1,22092,22092,Male
1958.0,121332964,-2,19737,19737,N/A $\notin$ constraint
2003.0,121332964,-1,369475,369475,N/A $\in$ constraint
1945.0,142362112,-2,5046,5046,N/A $\notin$ constraint
1976.0,138885662,0,1520,1520,Female
1967.0,142362112,-2,14825,14825,N/A $\notin$ constraint
1932.0,192562407,-2,9275,9275,N/A $\notin$ constraint
1960.0,127313418,-2,9824,9824,N/A $\notin$ constraint
1911.0,142362112,-2,6641,6641,N/A $\notin$ constraint
2009.0,95457728,-1,7819,7819,N/A $\in$ constraint
1979.0,142362112,-1,4505,4505,N/A $\in$ constraint
2007.0,95457728,-1,6081,6081,N/A $\in$ constraint
1934.0,144133560,-2,1099,1099,N/A $\notin$ constraint
1925.0,127413603,1,2099,2099,Male
1941.0,15744967,1,1883,1883,Male
1945.0,205649164,1,1429,1429,Male
1956.0,15744967,0,1171,1171,Female
1922.0,127313418,-1,93,93,N/A $\in$ constraint
1948.0,41008148,0,320,320,Female
1896.0,95457728,0,70,70,Female
1800.0,17744445,-2,120,120,N/A $\notin$ constraint
1906.0,127313418,1,604,604,Male
2012.0,142362112,-2,440774,440774,N/A $\notin$ constraint
1998.0,162324750,1,32373,32373,Male
2003.0,121332964,1,211718,211718,Male
2000.0,39432304,-1,40331,40331,N/A $\in$ constraint
1977.0,17744445,1,18898,18898,Male
2005.0,41008148,0,87387,87387,Female
2005.0,144024400,-2,75438,75438,N/A $\notin$ constraint
2001.0,138885662,1,20285,20285,Male
2010.0,192562407,-1,596939,596939,N/A $\in$ constraint
2005.0,142362112,1,45246,45246,Male
1985.0,17744445,-1,3045,3045,N/A $\in$ constraint
1996.0,144133560,-1,6350,6350,N/A $\in$ constraint
1996.0,41008148,-1,79011,79011,N/A $\in$ constraint
2006.0,162324750,1,63217,63217,Male
1978.0,162324750,-2,5560,5560,N/A $\notin$ constraint
2015.0,192562407,-2,2763052,2763052,N/A $\notin$ constraint
1976.0,144024400,-1,1612,1612,N/A $\in$ constraint
1984.0,121332964,-1,43813,43813,N/A $\in$ constraint
1893.0,15744967,1,188,188,Male
1967.0,138885662,-1,811,811,N/A $\in$ constraint
2008.0,95457728,-1,6563,6563,N/A $\in$ constraint
1928.0,162324750,-2,588,588,N/A $\notin$ constraint
2017.0,121332964,1,455710,455710,Male
1930.0,95457728,1,1899,1899,Male
1955.0,144024400,0,478,478,Female
1895.0,185592680,-1,110,110,N/A $\in$ constraint
1907.0,86803240,1,847,847,Male
1938.0,127313418,-2,2058,2058,N/A $\notin$ constraint
1971.0,144133560,-1,490,490,N/A $\in$ constraint
1932.0,138885662,-1,344,344,N/A $\in$ constraint
1865.0,71924100,1,420,420,Male
,17744445,-2,616,616,N/A $\notin$ constraint
2005.0,39432304,1,78014,78014,Male
2009.0,205649164,1,98453,98453,Male
2014.0,144133560,-2,320532,320532,N/A $\notin$ constraint
1989.0,192562407,1,166430,166430,Male
1974.0,192562407,-2,110956,110956,N/A $\notin$ constraint
1985.0,15744967,0,19631,19631,Female
1991.0,86803240,1,203494,203494,Male
1975.0,205649164,-1,2721,2721,N/A $\in$ constraint
1926.0,185592680,1,4804,4804,Male
1995.0,192562407,-1,206363,206363,N/A $\in$ constraint
1997.0,127313418,-2,98980,98980,N/A $\notin$ constraint
2018.0,71924100,-1,2094076,2094076,N/A $\in$ constraint
1996.0,142362112,-1,12861,12861,N/A $\in$ constraint
2001.0,144024400,1,27711,27711,Male
2020.0,17744445,-2,401077,401077,N/A $\notin$ constraint
1974.0,192562407,-1,21564,21564,N/A $\in$ constraint
1920.0,142362112,-1,432,432,N/A $\in$ constraint
1880.0,205649164,-2,835,835,N/A $\notin$ constraint
1935.0,144024400,1,841,841,Male
1922.0,121332964,-2,2567,2567,N/A $\notin$ constraint
1985.0,205649164,0,4826,4826,Female
1943.0,185592680,1,6200,6200,Male
1873.0,33923547,-2,177,177,N/A $\notin$ constraint
1931.0,17744445,-2,2229,2229,N/A $\notin$ constraint
1928.0,33923547,-2,1423,1423,N/A $\notin$ constraint
1905.0,33923547,1,388,388,Male
1870.0,86803240,1,175,175,Male
1957.0,86803240,0,2202,2202,Female
1859.0,71924100,-1,17,17,N/A $\in$ constraint
1945.0,144133560,1,624,624,Male
1863.0,205649164,0,19,19,Female
1895.0,41008148,-2,2847,2847,N/A $\notin$ constraint
1859.0,205649164,-2,401,401,N/A $\notin$ constraint
2010.0,41008148,0,142607,142607,Female
2013.0,162324750,1,91486,91486,Male
1998.0,71924100,-2,388799,388799,N/A $\notin$ constraint
2006.0,15744967,1,135552,135552,Male
2000.0,138885662,-2,52553,52553,N/A $\notin$ constraint
2002.0,39432304,-1,49362,49362,N/A $\in$ constraint
1969.0,127413603,1,20645,20645,Male
2009.0,144133560,-2,194479,194479,N/A $\notin$ constraint
2010.0,142362112,0,23586,23586,Female
2002.0,192562407,-2,797028,797028,N/A $\notin$ constraint
1991.0,121332964,-1,115586,115586,N/A $\in$ constraint
1974.0,71924100,1,71546,71546,Male
1996.0,33923547,0,11846,11846,Female
1987.0,17744445,1,24991,24991,Male
1927.0,138885662,1,2107,2107,Male
2001.0,15744967,-1,33351,33351,N/A $\in$ constraint
1978.0,121332964,1,24421,24421,Male
1924.0,127413603,1,1877,1877,Male
1980.0,15744967,-1,6345,6345,N/A $\in$ constraint
1980.0,71924100,-1,91952,91952,N/A $\in$ constraint
2007.0,138885662,-1,14683,14683,N/A $\in$ constraint
1981.0,138885662,-1,1757,1757,N/A $\in$ constraint
2018.0,41008148,1,802288,802288,Male
1985.0,144024400,0,5039,5039,Female
1925.0,95457728,-2,2397,2397,N/A $\notin$ constraint
1925.0,138885662,-2,2588,2588,N/A $\notin$ constraint
1947.0,95457728,1,2559,2559,Male
1952.0,95457728,-2,3939,3939,N/A $\notin$ constraint
1969.0,33923547,0,879,879,Female
1888.0,86803240,-2,756,756,N/A $\notin$ constraint
1850.0,95457728,-2,327,327,N/A $\notin$ constraint
1961.0,185592680,0,4895,4895,Female
1866.0,33923547,0,6,6,Female
1968.0,138885662,0,805,805,Female
1974.0,33923547,0,1466,1466,Female
1949.0,33923547,0,134,134,Female
1903.0,41008148,1,639,639,Male
1939.0,71924100,-1,2061,2061,N/A $\in$ constraint
1974.0,192562407,0,2943,2943,Female
1913.0,95457728,-2,1677,1677,N/A $\notin$ constraint
1941.0,205649164,0,287,287,Female
2019.0,127413603,-1,40674,40674,N/A $\in$ constraint
1870.0,95457728,1,305,305,Male
1965.0,33923547,-1,1159,1159,N/A $\in$ constraint
2011.0,144133560,1,88030,88030,Male
2014.0,205649164,-2,400059,400059,N/A $\notin$ constraint
2001.0,41008148,-1,144221,144221,N/A $\in$ constraint
2000.0,185592680,1,432022,432022,Male
1988.0,127413603,-2,127698,127698,N/A $\notin$ constraint
1972.0,17744445,0,2847,2847,Female
1990.0,95457728,0,4025,4025,Female
2014.0,17744445,0,58051,58051,Female
1977.0,192562407,-2,237563,237563,N/A $\notin$ constraint
1985.0,41008148,-1,18373,18373,N/A $\in$ constraint
1928.0,138885662,-2,3326,3326,N/A $\notin$ constraint
2016.0,41008148,-1,486283,486283,N/A $\in$ constraint
1913.0,71924100,-1,536,536,N/A $\in$ constraint
1872.0,17744445,-2,263,263,N/A $\notin$ constraint
1935.0,138885662,1,1979,1979,Male
1953.0,142362112,-2,9326,9326,N/A $\notin$ constraint
1951.0,17744445,-2,4329,4329,N/A $\notin$ constraint
1917.0,71924100,-2,4075,4075,N/A $\notin$ constraint
1888.0,127413603,1,252,252,Male
1983.0,144133560,0,1990,1990,Female
1900.0,185592680,-1,217,217,N/A $\in$ constraint
1982.0,33923547,0,2726,2726,Female
1940.0,39432304,1,729,729,Male
1966.0,127413603,-1,2011,2011,N/A $\in$ constraint
1894.0,185592680,-2,1752,1752,N/A $\notin$ constraint
1930.0,39432304,1,1464,1464,Male
1823.0,142362112,0,29,29,Female
1963.0,144024400,0,583,583,Female
2020.0,185592680,-1,1226769,1226769,N/A $\in$ constraint
1891.0,39432304,-2,322,322,N/A $\notin$ constraint
2021.0,138885662,-1,513,513,N/A $\in$ constraint
,205649164,-2,609,609,N/A $\notin$ constraint
2005.0,127413603,0,46473,46473,Female
1992.0,41008148,1,111183,111183,Male
1997.0,127313418,1,43797,43797,Male
1997.0,41008148,0,27308,27308,Female
2001.0,121332964,1,185907,185907,Male
1978.0,17744445,0,4972,4972,Female
1993.0,127313418,1,33588,33588,Male
1995.0,185592680,1,370212,370212,Male
1974.0,127413603,1,35410,35410,Male
2009.0,185592680,0,266494,266494,Female
1996.0,138885662,1,16469,16469,Male
2008.0,142362112,0,21781,21781,Female
1959.0,185592680,-2,61750,61750,N/A $\notin$ constraint
1986.0,138885662,0,2700,2700,Female
1967.0,185592680,-1,31149,31149,N/A $\in$ constraint
1960.0,205649164,1,3848,3848,Male
1992.0,144133560,0,4433,4433,Female
1996.0,162324750,-2,15786,15786,N/A $\notin$ constraint
1946.0,192562407,1,5456,5456,Male
1843.0,142362112,1,348,348,Male
1963.0,121332964,0,637,637,Female
1964.0,127313418,1,6003,6003,Male
1953.0,144133560,0,167,167,Female
1904.0,17744445,1,395,395,Male
1945.0,41008148,0,236,236,Female
1948.0,86803240,-1,1277,1277,N/A $\in$ constraint
